state,pop,popurban,medage
Alabama,3893888,2337713,29.299999
Alaska,401851,258567,26.1
Arizona,2718215,2278728,29.200001
Arkansas,2286435,1179556,30.6
California,23667902,21607606,29.9
Colorado,2889964,2329869,28.6
Connecticut,3107576,2449774,32
Delaware,594338,419819,29.799999
Florida,9746324,8212385,34.700001
Georgia,5463105,3409081,28.700001
Hawaii,964691,834592,28.4
Idaho,943935,509702,27.6
Illinois,11426518,9518039,29.9
Indiana,5490224,3525298,29.200001
Iowa,2913808,1708232,30
Kansas,2363679,1575899,30.1
Kentucky,3660777,1862183,29.1
Louisiana,4205900,2887309,27.4
Maine,1124660,534072,30.4
Maryland,4216975,3386555,30.299999
Massachusetts,5737037,4808339,31.200001
Michigan,9262078,6551551,28.799999
Minnesota,4075970,2725202,29.200001
Mississippi,2520638,1192805,27.700001
Missouri,4916686,3349588,30.9
Montana,786690,416402,29
Nebraska,1569825,987859,29.700001
Nevada,800493,682947,30.200001
New Hampshire,920610,480325,30.1
New Jersey,7364823,6557377,32.200001
New Mexico,1302894,939963,27.4
New York,17558072,14858068,31.9
N. Carolina,5881766,2822852,29.6
N. Dakota,652717,318310,28.299999
Ohio,10797630,7918259,29.9
Oklahoma,3025290,2035082,30.1
Oregon,2633105,1788354,30.200001
Pennsylvania,11863895,8220851,32.099998
Rhode Island,947154,824004,31.799999
S. Carolina,3121820,1689253,28.1
S. Dakota,690768,320777,28.9
Tennessee,4591120,2773573,30.1
Texas,14229191,11333017,28.200001
Utah,1461037,1233060,24.200001
Vermont,511456,172735,29.4
Virginia,5346818,3529423,29.799999
Washington,4132156,3037014,29.799999
W. Virginia,1949644,705319,30.4
Wisconsin,4705767,3020732,29.4
Wyoming,469557,294639,27.1
